County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Autauga County,37,0,16961,217
Baldwin County,117,0,60272,683
Barbour County,16,0,6055,100
Bibb County,8,0,6804,105
Blount County,27,0,15653,247
Bullock County,8,0,2536,54
Butler County,10,0,5379,129
Calhoun County,51,0,33821,636
Chambers County,17,0,9025,165
Cherokee County,8,0,5363,86
Chilton County,15,0,11512,211
Choctaw County,1,0,2122,37
Clarke County,9,0,7408,101
Clay County,8,0,4296,83
Cleburne County,3,0,3644,69
Coffee County,24,0,14480,236
Colbert County,36,0,17378,263
Conecuh County,9,0,3049,70
Coosa County,7,0,3137,59
Covington County,19,0,9923,235
Crenshaw County,6,0,4030,102
Cullman County,49,0,26113,369
Dale County,32,0,13803,233
Dallas County,32,0,9059,245
DeKalb County,21,0,19370,331
Elmore County,53,0,25027,352
Escambia County,12,0,10626,173
Etowah County,40,0,29715,653
Fayette County,7,0,5122,97
Franklin County,8,0,10194,140
Geneva County,11,0,6821,165
Greene County,3,0,1999,51
Hale County,11,0,5063,106
Henry County,10,0,4898,78
Houston County,53,0,27472,511
Jackson County,24,0,15625,243
Jefferson County,350,0,199768,2392
Lamar County,8,0,3938,65
Lauderdale County,34,0,25470,400
Lawrence County,11,0,7994,160
Lee County,78,0,40181,342
Limestone County,45,0,26685,298
Lowndes County,9,0,2815,77
Macon County,13,0,4210,86
Madison County,161,0,97166,982
Marengo County,11,0,5485,108
Marion County,13,0,8573,153
Marshall County,32,0,28419,396
Mobile County,207,1,119109,1672
Monroe County,14,0,5582,81
Montgomery County,178,0,60374,959
Morgan County,68,0,38248,519
Perry County,5,0,2236,47
Pickens County,7,0,5477,105
Pike County,16,0,7917,134
Randolph County,9,0,5297,75
Russell County,27,0,10863,96
Shelby County,96,0,65060,459
St. Clair County,44,0,27053,418
Sumter County,4,0,2734,52
Talladega County,51,0,23635,378
Tallapoosa County,24,0,12058,239
Tuscaloosa County,79,0,60129,794
Walker County,44,0,19740,451
Washington County,4,0,3912,59
Wilcox County,11,0,3080,47
Winston County,10,0,7873,133
