County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Aleutians East Borough,2,0,674,0
Aleutians West Census Area,2,0,1000,2
Anchorage Municipality,121,1,110761,544
Bethel Census Area,8,0,10867,42
Bristol Bay Borough,0,0,608,2
Denali Borough,1,0,432,0
Dillingham Census Area,3,0,1950,12
Fairbanks North Star Borough,34,1,29275,140
Haines Borough,1,0,695,1
Hoonah-Angoon Census Area,0,0,0,0
Juneau City and Borough,18,0,9782,21
Kenai Peninsula Borough,29,0,18984,105
Ketchikan Gateway Borough,6,0,4616,24
Kodiak Island Borough,9,0,5144,12
Kusilvak Census Area,0,0,1508,4
Lake and Peninsula Borough,0,0,121,0
Matanuska-Susitna Borough,54,0,36619,246
Nome Census Area,3,0,6296,5
North Slope Borough,7,0,4334,12
Northwest Arctic Borough,15,0,5018,15
Petersburg Borough,0,0,179,2
Prince of Wales-Hyder Census Area,0,0,251,4
Sitka City and Borough,6,0,2797,6
Skagway Municipality,0,0,30,0
Southeast Fairbanks Census Area,2,0,2013,20
Valdez-Cordova Census Area,2,0,1993,20
Wrangell City and Borough,0,0,71,0
Yakutat City and Borough,0,0,63,2
Yukon-Koyukuk Census Area,3,0,1561,11
