County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Apache County,59,0,28113,608
Cochise County,36,0,33840,564
Coconino County,71,0,47364,472
Gila County,19,0,18183,379
Graham County,9,0,12399,176
Greenlee County,4,0,2315,32
La Paz County,8,0,5483,143
Maricopa County,1,0,1364256,17103
Mohave County,75,0,60807,1435
Navajo County,70,0,41116,902
Pima County,269,0,274018,3803
Pinal County,133,0,140061,1645
Santa Cruz County,19,0,17308,228
Yavapai County,75,0,51708,1195
Yuma County,44,0,64074,1167
