County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Arkansas County,11,0,5983,78
Ashley County,8,0,5391,69
Baxter County,14,0,9428,251
Benton County,80,0,70067,876
Boone County,13,0,9913,181
Bradley County,3,0,3132,53
Calhoun County,1,0,1012,11
Carroll County,13,0,6453,106
Chicot County,3,0,2841,59
Clark County,10,0,5691,82
Clay County,8,0,4349,94
Cleburne County,18,0,6803,129
Cleveland County,4,0,2377,36
Columbia County,9,0,5701,97
Conway County,7,0,5715,65
Craighead County,68,0,39826,336
Crawford County,26,0,16604,252
Crittenden County,19,0,15037,227
Cross County,4,0,5077,87
Dallas County,1,0,1855,32
Desha County,7,0,3209,41
Drew County,4,0,4843,71
Faulkner County,56,0,37286,320
Franklin County,7,0,3969,73
Fulton County,4,0,2796,94
Garland County,31,0,24313,516
Grant County,5,0,4634,62
Greene County,22,0,16810,179
Hempstead County,14,0,4894,70
Hot Spring County,12,0,11621,139
Howard County,11,0,3956,52
Independence County,18,0,11058,215
Izard County,6,0,4107,71
Jackson County,10,0,6372,64
Jefferson County,39,0,19682,278
Johnson County,15,0,7138,88
Lafayette County,2,0,1339,31
Lawrence County,12,0,5600,82
Lee County,3,0,3019,62
Lincoln County,3,0,5020,69
Little River County,6,0,3394,106
Logan County,7,0,5309,79
Lonoke County,31,0,21001,249
Madison County,7,0,4194,65
Marion County,4,0,3584,89
Miller County,24,0,10056,182
Mississippi County,20,0,14172,214
Monroe County,6,0,2044,36
Montgomery County,2,0,1596,56
Nevada County,9,0,2337,45
Newton County,2,0,1789,49
Ouachita County,13,0,5833,109
Perry County,5,0,2648,38
Phillips County,9,0,5069,99
Pike County,2,0,2681,44
Poinsett County,18,0,8487,130
Polk County,7,0,4268,151
Pope County,26,0,19005,213
Prairie County,2,0,2032,42
Pulaski County,227,0,111697,1193
Randolph County,9,0,5454,90
Saline County,51,0,32608,347
Scott County,12,0,2468,44
Searcy County,3,0,2226,48
Sebastian County,66,1,34635,531
Sevier County,9,0,6220,75
Sharp County,9,0,4946,108
St. Francis County,10,0,7593,97
Stone County,6,0,3134,68
Union County,17,0,9689,183
Van Buren County,6,0,3670,62
Washington County,93,0,71979,639
White County,38,0,23351,303
Woodruff County,3,0,1825,31
Yell County,7,0,6983,107
