County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,153,1,149731,1345
Alamosa County,8,0,5079,62
Arapahoe County,212,1,175739,1236
Archuleta County,0,0,2948,16
Baca County,0,0,896,14
Bent County,1,0,2667,47
Boulder County,116,0,78914,382
Broomfield County,22,0,16055,119
Chaffee County,5,0,5134,50
Cheyenne County,0,0,322,9
Clear Creek County,0,0,1626,12
Conejos County,2,0,2012,57
Costilla County,0,0,720,18
Crowley County,1,0,3405,31
Custer County,0,0,667,21
Delta County,5,0,6578,141
Denver County,210,0,200314,1402
Dolores County,0,0,367,8
Douglas County,109,0,90553,444
Eagle County,12,0,17409,36
El Paso County,193,1,209572,1747
Elbert County,5,0,5275,41
Fremont County,17,0,16544,192
Garfield County,12,0,16299,94
Gilpin County,0,0,986,4
Grand County,1,0,3773,28
Gunnison County,0,0,3432,14
Hinsdale County,0,0,132,0
Huerfano County,2,0,1583,38
Jackson County,0,0,169,0
Jefferson County,160,0,143568,1392
Kiowa County,0,0,337,6
Kit Carson County,0,0,1689,33
La Plata County,12,0,14099,89
Lake County,0,0,1854,2
Larimer County,120,1,93169,528
Las Animas County,2,0,3815,45
Lincoln County,0,0,2211,9
Logan County,6,0,7811,112
Mesa County,39,0,45908,589
Mineral County,0,0,241,2
Moffat County,3,0,3260,53
Montezuma County,6,0,6588,83
Montrose County,10,0,10082,169
Morgan County,6,0,6080,138
Otero County,5,0,4636,131
Ouray County,0,0,892,6
Park County,0,0,2939,20
Phillips County,0,0,895,19
Pitkin County,0,0,6693,7
Prowers County,3,0,2754,51
Pueblo County,72,1,52531,816
Rio Blanco County,5,0,1869,13
Rio Grande County,5,0,3148,46
Routt County,5,0,7140,25
Saguache County,0,0,1206,12
San Juan County,0,0,209,0
San Miguel County,0,0,2333,8
Sedgwick County,0,0,490,10
Summit County,11,0,11060,14
Teller County,6,0,5376,58
Washington County,0,0,1069,28
Weld County,101,0,94253,716
Yuma County,1,0,2055,25
