County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Alachua County,0,0,75246,285
Baker County,0,0,9007,62
Bay County,0,0,48372,394
Bradford County,0,0,7841,58
Brevard County,0,0,149620,914
Broward County,0,0,675409,3079
Calhoun County,0,0,4226,45
Charlotte County,0,0,39945,437
Citrus County,0,0,32541,463
Clay County,0,0,57483,352
Collier County,0,0,91157,551
Columbia County,0,0,22024,170
DeSoto County,0,0,9935,97
Dixie County,0,0,4237,24
Duval County,0,0,273824,1483
Escambia County,0,0,82597,706
Flagler County,0,0,24722,114
Franklin County,0,0,3193,20
Gadsden County,0,0,14475,99
Gilchrist County,0,0,4788,44
Glades County,0,0,2078,19
Gulf County,0,0,4482,45
Hamilton County,0,0,3954,25
Hardee County,0,0,9015,45
Hendry County,0,0,12250,87
Hernando County,0,0,45977,482
Highlands County,0,0,25908,366
Hillsborough County,0,0,413077,1832
Holmes County,0,0,5660,49
Indian River County,0,0,36364,306
Jackson County,0,0,15495,158
Jefferson County,0,0,4193,28
Lafayette County,0,0,2879,26
Lake County,0,0,93539,663
Lee County,0,0,206862,1009
Leon County,0,0,93612,332
Levy County,0,0,10779,56
Liberty County,0,0,2598,16
Madison County,0,0,6130,45
Manatee County,0,0,105335,689
Marion County,0,0,89459,996
Martin County,0,0,33795,335
Miami-Dade County,0,0,1336976,6472
Monroe County,0,0,19895,52
Nassau County,0,0,23698,127
Okaloosa County,0,0,54581,367
Okeechobee County,0,0,11051,89
Orange County,0,0,417572,1310
Osceola County,0,0,125180,529
Palm Beach County,0,0,411427,2883
Pasco County,0,0,135484,802
Pinellas County,0,0,234561,1671
Polk County,0,0,220251,1387
Putnam County,0,0,18539,160
Santa Rosa County,0,0,51405,291
Sarasota County,0,0,101615,844
Seminole County,0,0,114824,516
St. Johns County,0,0,68109,221
St. Lucie County,0,0,81550,657
Sumter County,0,0,24512,284
Suwannee County,0,0,13429,140
Taylor County,0,0,7259,48
Union County,0,0,4462,74
Volusia County,0,0,128746,846
Wakulla County,0,0,10501,56
Walton County,0,0,17374,89
Washington County,0,0,6889,52
