County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Ada County,208,0,144368,1034
Adams County,1,0,742,15
Bannock County,32,0,21927,251
Bear Lake County,1,0,980,16
Benewah County,4,0,2518,41
Bingham County,9,0,10180,161
Blaine County,12,0,6504,29
Boise County,3,0,1176,14
Bonner County,9,0,9355,190
Bonneville County,46,0,32124,289
Boundary County,2,0,2192,63
Butte County,1,0,495,11
Camas County,0,0,165,2
Canyon County,87,0,64035,691
Caribou County,0,0,1522,27
Cassia County,4,0,5121,53
Clark County,0,0,113,1
Clearwater County,1,0,2394,34
Custer County,1,0,612,9
Elmore County,13,0,7824,70
Franklin County,1,0,2420,29
Fremont County,4,0,2258,28
Gem County,8,0,3842,80
Gooding County,5,0,3430,56
Idaho County,4,0,3162,52
Jefferson County,9,0,6241,65
Jerome County,8,0,6331,64
Kootenai County,36,0,43733,604
Latah County,6,0,7141,51
Lemhi County,5,0,1400,26
Lewis County,1,0,1195,30
Lincoln County,1,0,1139,15
Madison County,14,0,13104,54
Minidoka County,5,0,4353,65
Nez Perce County,11,0,9389,150
Oneida County,2,0,847,11
Owyhee County,3,0,2357,53
Payette County,11,0,5827,87
Power County,1,0,1504,20
Shoshone County,13,0,2892,77
Teton County,1,0,2808,9
Twin Falls County,45,0,25441,294
Valley County,4,0,2828,16
Washington County,1,0,2468,57
