County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,0,0,7602,112
Allen County,0,0,103712,1173
Bartholomew County,0,0,21330,249
Benton County,0,0,2475,21
Blackford County,0,0,3122,69
Boone County,0,0,15189,181
Brown County,0,0,2586,62
Carroll County,0,0,4222,67
Cass County,0,0,11654,163
Clark County,0,0,31060,395
Clay County,0,0,6826,87
Clinton County,0,0,9188,124
Crawford County,0,0,2548,38
Daviess County,0,0,7469,151
DeKalb County,0,0,11342,149
Dearborn County,0,0,13431,139
Decatur County,0,0,7061,145
Delaware County,0,0,24805,440
Dubois County,0,0,12857,165
Elkhart County,0,0,54150,728
Fayette County,0,0,6871,146
Floyd County,0,0,18913,297
Fountain County,0,0,5404,101
Franklin County,0,0,4400,65
Fulton County,0,0,4914,102
Gibson County,0,0,11631,145
Grant County,0,0,17684,345
Greene County,0,0,7205,139
Hamilton County,0,0,81765,656
Hancock County,0,0,20657,258
Harrison County,0,0,10806,138
Hendricks County,0,0,40758,552
Henry County,0,0,12979,229
Howard County,0,0,25399,445
Huntington County,0,0,11493,155
Jackson County,0,0,12513,130
Jasper County,0,0,9015,147
Jay County,0,0,4851,78
Jefferson County,0,0,9349,154
Jennings County,0,0,6946,108
Johnson County,0,0,42309,610
Knox County,0,0,10741,153
Kosciusko County,0,0,19737,236
LaGrange County,0,0,5849,102
LaPorte County,0,0,25421,365
Lake County,0,0,106154,1813
Lawrence County,0,0,11840,258
Madison County,0,0,32665,647
Marion County,0,0,224957,2966
Marshall County,0,0,12328,195
Martin County,0,0,2164,25
Miami County,0,0,9261,159
Monroe County,0,0,27629,279
Montgomery County,0,0,10665,164
Morgan County,0,0,16468,286
Newton County,0,0,2561,68
Noble County,0,0,13064,156
Ohio County,0,0,1444,19
Orange County,0,0,5035,96
Owen County,0,0,5835,118
Parke County,0,0,3605,49
Perry County,0,0,4665,68
Pike County,0,0,3728,49
Porter County,0,0,37589,558
Posey County,0,0,6528,58
Pulaski County,0,0,3070,86
Putnam County,0,0,9323,127
Randolph County,0,0,5935,147
Ripley County,0,0,8283,138
Rush County,0,0,4906,58
Scott County,0,0,7864,106
Shelby County,0,0,14677,181
Spencer County,0,0,5221,60
St. Joseph County,0,0,70553,863
Starke County,0,0,4746,96
Steuben County,0,0,9623,120
Sullivan County,0,0,5276,76
Switzerland County,0,0,2310,20
Tippecanoe County,0,0,49917,392
Tipton County,0,0,3528,87
Union County,0,0,2046,21
Vanderburgh County,0,0,57248,621
Vermillion County,0,0,4069,74
Vigo County,0,0,28832,410
Wabash County,0,0,8718,154
Warren County,0,0,2089,30
Warrick County,0,0,20248,237
Washington County,0,0,5990,81
Wayne County,0,0,19198,334
Wells County,0,0,6523,132
White County,0,0,6853,94
Whitley County,0,0,9649,83
