County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adair County,1,0,1630,51
Adams County,0,0,839,14
Allamakee County,1,0,2958,60
Appanoose County,2,0,3004,70
Audubon County,0,0,1145,21
Benton County,5,0,6381,79
Black Hawk County,30,0,34626,492
Boone County,3,0,5806,57
Bremer County,3,0,5795,83
Buchanan County,5,0,4853,60
Buena Vista County,3,0,6486,58
Butler County,2,0,3389,54
Calhoun County,3,0,2734,25
Carroll County,6,0,5173,68
Cass County,1,0,3013,78
Cedar County,4,0,4420,36
Cerro Gordo County,8,0,11583,171
Cherokee County,6,0,3105,66
Chickasaw County,3,0,2819,32
Clarke County,3,0,2366,37
Clay County,3,0,4259,45
Clayton County,3,0,3641,74
Clinton County,18,0,12135,146
Crawford County,4,0,4584,54
Dallas County,19,0,24513,147
Davis County,1,0,1671,33
Decatur County,2,0,1594,26
Delaware County,5,0,4228,68
Des Moines County,11,0,9664,142
Dickinson County,3,0,4276,74
Dubuque County,25,0,27763,300
Emmet County,1,0,2420,54
Fayette County,4,0,4296,76
Floyd County,3,0,3768,62
Franklin County,4,0,2633,43
Fremont County,0,0,1436,26
Greene County,1,0,1806,21
Grundy County,2,0,2666,44
Guthrie County,2,0,2462,47
Hamilton County,2,0,3598,73
Hancock County,3,0,2988,48
Hardin County,4,0,4339,63
Harrison County,1,0,3522,95
Henry County,4,0,5779,76
Howard County,2,0,2128,36
Humboldt County,3,0,2736,38
Ida County,1,0,1864,49
Iowa County,3,0,3885,50
Jackson County,7,0,4901,70
Jasper County,10,0,9184,112
Jefferson County,2,0,3692,52
Johnson County,52,0,39054,155
Jones County,6,0,5772,74
Keokuk County,1,0,2139,48
Kossuth County,7,0,3945,88
Lee County,6,0,8122,143
Linn County,71,0,56518,595
Louisa County,4,0,2618,63
Lucas County,2,0,1846,32
Lyon County,2,0,2828,51
Madison County,3,0,3283,40
Mahaska County,4,0,5139,90
Marion County,6,0,7923,127
Marshall County,9,0,9948,113
Mills County,3,0,3536,44
Mitchell County,2,0,2592,49
Monona County,1,0,1780,49
Monroe County,2,0,1960,49
Montgomery County,2,0,2290,56
Muscatine County,7,0,10145,132
O'Brien County,2,0,3549,72
Osceola County,0,0,1417,22
Page County,3,0,3427,49
Palo Alto County,2,0,2117,38
Plymouth County,5,0,6483,104
Pocahontas County,1,0,1682,27
Polk County,122,1,133309,1121
Pottawattamie County,22,0,25254,321
Poweshiek County,6,0,3994,63
Ringgold County,1,0,1159,34
Sac County,3,0,2503,36
Scott County,39,0,43743,402
Shelby County,3,0,2823,52
Sioux County,4,0,8183,89
Story County,18,0,20988,92
Tama County,4,0,4108,95
Taylor County,1,0,1352,22
Union County,2,0,2818,52
Van Buren County,1,0,1446,27
Wapello County,7,0,9374,208
Warren County,11,0,13165,136
Washington County,8,0,5929,79
Wayne County,1,0,1324,33
Webster County,8,0,10815,166
Winnebago County,3,0,3110,47
Winneshiek County,2,0,4074,52
Woodbury County,25,0,29658,342
Worth County,2,0,1838,17
Wright County,3,0,3725,66
