County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Allen County,3,0,4184,53
Anderson County,2,0,2223,29
Atchison County,2,0,4495,34
Barber County,1,0,1058,8
Barton County,4,0,6652,96
Bourbon County,11,0,4634,52
Brown County,2,0,2813,46
Butler County,13,0,19736,184
Chase County,1,0,689,7
Chautauqua County,0,0,867,17
Cherokee County,5,0,6395,84
Cheyenne County,0,0,663,14
Clark County,0,0,512,8
Clay County,1,0,2049,35
Cloud County,4,0,2285,36
Coffey County,1,0,2488,42
Comanche County,0,0,451,16
Cowley County,7,0,10478,152
Crawford County,13,0,12555,128
Decatur County,0,0,637,20
Dickinson County,6,0,4988,78
Doniphan County,1,0,2511,34
Douglas County,39,0,28941,136
Edwards County,0,0,565,13
Elk County,0,0,584,10
Ellis County,4,0,7348,81
Ellsworth County,2,0,2047,32
Finney County,9,0,11581,112
Ford County,14,0,10921,113
Franklin County,4,0,7227,81
Geary County,8,0,9599,75
Gove County,0,0,821,23
Graham County,0,0,590,15
Grant County,2,0,2262,36
Gray County,1,0,1247,23
Greeley County,0,0,336,3
Greenwood County,1,0,1849,23
Hamilton County,0,0,468,3
Harper County,0,0,1691,27
Harvey County,11,0,10012,123
Haskell County,1,0,978,11
Hodgeman County,0,0,422,10
Jackson County,3,0,4029,29
Jefferson County,5,0,5008,61
Jewell County,1,0,809,13
Johnson County,174,0,157609,1199
Kearny County,2,0,1269,20
Kingman County,2,0,2038,28
Kiowa County,0,0,691,7
Labette County,7,0,6875,74
Lane County,0,0,302,12
Leavenworth County,24,0,20601,183
Lincoln County,1,0,640,10
Linn County,3,0,2927,28
Logan County,1,0,880,13
Lyon County,6,0,10488,120
Marion County,1,0,3433,43
Marshall County,2,0,2607,42
McPherson County,7,0,8104,126
Meade County,0,0,1240,20
Miami County,7,0,8281,93
Mitchell County,1,0,1467,22
Montgomery County,8,0,9686,154
Morris County,0,0,1549,28
Morton County,1,0,639,11
Nemaha County,1,0,3327,60
Neosho County,9,0,5387,66
Ness County,0,0,796,18
Norton County,0,0,2164,37
Osage County,2,0,4092,49
Osborne County,2,0,829,17
Ottawa County,1,0,1236,17
Pawnee County,1,0,2236,24
Phillips County,2,0,1383,30
Pottawatomie County,5,0,6024,55
Pratt County,1,0,1992,30
Rawlins County,0,0,696,9
Reno County,29,0,19325,228
Republic County,0,0,1368,16
Rice County,3,0,2694,23
Riley County,9,0,14170,81
Rooks County,0,0,1405,20
Rush County,0,0,820,18
Russell County,0,0,1905,37
Saline County,17,0,14625,239
Scott County,2,0,1336,34
Sedgwick County,130,0,150135,1360
Seward County,6,0,7067,59
Shawnee County,64,0,51168,612
Sheridan County,0,0,802,18
Sherman County,0,0,1540,20
Smith County,0,0,649,7
Stafford County,1,0,1178,26
Stanton County,0,0,437,8
Stevens County,5,0,1585,20
Sumner County,2,0,5852,70
Thomas County,2,0,2528,28
Trego County,0,0,796,10
Wabaunsee County,2,0,1698,22
Wallace County,0,0,444,5
Washington County,0,0,1436,22
Wichita County,3,0,540,8
Wilson County,2,0,2901,43
Woodson County,1,0,833,15
Wyandotte County,34,0,48906,477
