County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adair County,6,0,6270,109
Allen County,6,0,6931,109
Anderson County,9,0,7038,71
Ballard County,1,0,1535,34
Barren County,17,0,13725,222
Bath County,3,0,3421,49
Bell County,8,0,9130,159
Boone County,41,0,39761,306
Bourbon County,11,0,6442,61
Boyd County,28,0,17657,182
Boyle County,10,0,9392,138
Bracken County,4,0,2345,27
Breathitt County,6,0,4134,55
Breckinridge County,4,0,5380,80
Bullitt County,20,0,23560,229
Butler County,1,0,4013,55
Caldwell County,3,0,4352,62
Calloway County,15,0,9578,98
Campbell County,24,0,25006,187
Carlisle County,1,0,1146,20
Carroll County,3,0,3622,48
Carter County,12,0,9304,109
Casey County,3,0,4355,76
Christian County,19,0,17244,215
Clark County,15,0,11609,73
Clay County,6,0,8057,96
Clinton County,2,0,3856,53
Crittenden County,4,0,2445,51
Cumberland County,2,0,2309,33
Daviess County,47,0,32675,395
Edmonson County,2,0,2694,50
Elliott County,2,0,2790,20
Estill County,4,0,4267,52
Fayette County,116,0,103693,628
Fleming County,4,0,4199,63
Floyd County,15,0,13138,222
Franklin County,21,0,14984,159
Fulton County,1,0,1275,33
Gallatin County,1,0,2289,52
Garrard County,4,0,5041,80
Grant County,6,0,7720,67
Graves County,8,0,11929,185
Grayson County,10,0,8396,136
Green County,2,0,3900,45
Greenup County,18,0,13015,151
Hancock County,3,0,2627,25
Hardin County,56,0,35358,448
Harlan County,10,0,9586,216
Harrison County,9,0,7028,79
Hart County,5,0,5675,105
Henderson County,17,0,14596,174
Henry County,6,0,5299,53
Hickman County,1,0,931,28
Hopkins County,18,0,15684,258
Jackson County,3,0,4422,82
Jefferson County,263,1,245312,2431
Jessamine County,16,0,16203,147
Johnson County,18,0,6947,125
Kenton County,44,0,45350,435
Knott County,6,0,4491,66
Knox County,11,0,12060,151
Larue County,5,0,3960,74
Laurel County,27,0,21434,251
Lawrence County,2,0,4731,73
Lee County,1,0,2993,56
Leslie County,5,0,3937,49
Letcher County,9,0,7490,119
Lewis County,4,0,4772,88
Lincoln County,9,0,7101,139
Livingston County,3,0,2646,61
Logan County,9,0,8754,129
Lyon County,5,0,3095,36
Madison County,31,0,29506,286
Magoffin County,6,0,4173,53
Marion County,9,0,6765,86
Marshall County,6,0,8807,117
Martin County,3,0,3450,49
Mason County,5,0,5309,108
McCracken County,21,0,20953,275
McCreary County,3,0,5897,84
McLean County,3,0,2758,54
Meade County,7,0,6121,66
Menifee County,1,0,1822,32
Mercer County,13,0,7827,107
Metcalfe County,3,0,3032,68
Monroe County,3,0,3794,80
Montgomery County,15,0,9380,110
Morgan County,4,0,5565,33
Muhlenberg County,17,0,10850,124
Nelson County,20,0,15427,157
Nicholas County,3,0,2260,32
Ohio County,8,0,7611,105
Oldham County,17,0,19741,146
Owen County,2,0,2496,34
Owsley County,0,0,1606,30
Pendleton County,2,0,3644,40
Perry County,17,0,11769,184
Pike County,27,0,20313,317
Powell County,5,0,4992,45
Pulaski County,22,0,18960,298
Robertson County,1,0,718,21
Rockcastle County,5,0,5258,63
Rowan County,16,0,7263,72
Russell County,5,0,6750,88
Scott County,25,0,19241,115
Shelby County,15,0,14264,167
Simpson County,9,0,6047,96
Spencer County,5,0,5764,63
Taylor County,10,0,9979,127
Todd County,3,0,3070,46
Trigg County,5,0,4227,45
Trimble County,1,0,2287,42
Union County,7,0,4483,57
Warren County,35,0,45563,383
Washington County,7,0,4223,62
Wayne County,5,0,6372,93
Webster County,5,0,4083,50
Whitley County,5,0,14480,209
Wolfe County,4,0,2707,29
Woodford County,10,0,7659,53
