County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Acadia Parish,31,0,16813,295
Allen Parish,14,0,8223,143
Ascension Parish,67,0,37305,295
Assumption Parish,11,0,5978,70
Avoyelles Parish,33,0,12419,211
Beauregard Parish,17,0,9807,142
Bienville Parish,11,0,4231,112
Bossier Parish,128,0,41969,497
Caddo Parish,190,0,73162,1161
Calcasieu Parish,128,0,58536,714
Caldwell Parish,8,0,3784,55
Cameron Parish,2,0,1237,8
Catahoula Parish,6,0,2794,56
Claiborne Parish,7,0,3428,79
Concordia Parish,14,0,5391,89
De Soto Parish,23,0,8156,135
East Baton Rouge Parish,252,0,120411,1357
East Carroll Parish,12,0,2692,38
East Feliciana Parish,9,0,7550,170
Evangeline Parish,19,0,8925,160
Franklin Parish,15,0,7678,178
Grant Parish,13,0,6258,95
Iberia Parish,52,0,20606,265
Iberville Parish,24,0,10025,152
Jackson Parish,13,0,4690,77
Jefferson Davis Parish,17,0,7434,161
Jefferson Parish,245,0,124946,1357
LaSalle Parish,11,0,4479,61
Lafayette Parish,139,0,67255,506
Lafourche Parish,53,0,30140,380
Lincoln Parish,36,0,13017,145
Livingston Parish,58,0,39253,471
Madison Parish,6,0,3375,58
Morehouse Parish,25,0,7318,134
Natchitoches Parish,43,0,11003,171
Orleans Parish,236,0,99453,1132
Ouachita Parish,144,0,53821,763
Plaquemines Parish,10,0,6983,46
Pointe Coupee Parish,16,0,6842,93
Rapides Parish,93,0,35077,580
Red River Parish,6,0,2227,54
Richland Parish,21,0,7210,100
Sabine Parish,15,0,6755,115
St. Bernard Parish,25,0,12415,113
St. Charles Parish,30,0,15086,144
St. Helena Parish,1,0,2010,24
St. James Parish,12,0,6368,76
St. John the Baptist Parish,35,0,11561,185
St. Landry Parish,48,0,23779,415
St. Martin Parish,21,0,13647,190
St. Mary Parish,25,0,13410,266
St. Tammany Parish,167,0,79135,861
Tangipahoa Parish,90,0,37618,611
Tensas Parish,3,0,1049,12
Terrebonne Parish,87,0,33820,423
Union Parish,25,0,7376,135
Vermilion Parish,35,0,16366,226
Vernon Parish,22,0,10444,191
Washington Parish,35,0,13869,253
Webster Parish,35,0,12083,188
West Baton Rouge Parish,15,0,7883,91
West Carroll Parish,13,0,3915,67
West Feliciana Parish,4,0,2981,46
Winn Parish,13,0,4707,64
