County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Androscoggin County,15,1,24488,294
Aroostook County,12,0,15556,180
Cumberland County,65,1,57098,392
Franklin County,3,0,6378,63
Hancock County,9,0,8653,93
Kennebec County,13,0,26179,253
Knox County,9,0,6863,40
Lincoln County,4,0,5966,38
Oxford County,10,0,12601,153
Penobscot County,17,0,31678,350
Piscataquis County,1,0,3298,34
Sagadahoc County,6,0,5937,37
Somerset County,10,0,10757,113
Waldo County,5,0,6938,61
Washington County,4,0,4850,60
York County,38,0,45107,302
