County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Allegany County,15,0,18205,366
Anne Arundel County,144,1,101939,1121
Baltimore County,165,2,147512,2545
Baltimore city,144,0,126963,1826
Calvert County,15,0,12525,150
Caroline County,6,0,6465,81
Carroll County,26,0,23967,418
Cecil County,21,0,17186,262
Charles County,47,0,32175,358
Dorchester County,7,0,8311,109
Frederick County,54,0,50555,535
Garrett County,9,0,6097,115
Harford County,52,0,42520,594
Howard County,106,0,52738,390
Kent County,5,0,3382,70
Montgomery County,351,1,203679,2100
Prince George's County,284,0,191141,2202
Queen Anne's County,8,0,7731,114
Somerset County,3,0,5478,76
St. Mary's County,26,0,20943,220
Talbot County,7,0,6130,92
Washington County,27,0,36844,592
Wicomico County,19,0,21266,331
Worcester County,7,0,9451,161
