County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Barnstable County,12,0,40818,608
Berkshire County,12,0,29170,395
Bristol County,33,1,162386,2214
Dukes County,3,0,3945,0
Essex County,55,0,226467,2828
Franklin County,4,0,12365,151
Hampden County,49,0,147847,1859
Hampshire County,13,0,33756,368
Middlesex County,121,2,382477,4154
Nantucket County,1,0,3606,0
Norfolk County,42,0,152268,1976
Plymouth County,35,0,126812,1736
Suffolk County,66,1,239792,2050
Worcester County,58,1,212740,2672
