County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Alcona County,1,0,1790,72
Alger County,2,0,1848,14
Allegan County,23,0,28809,361
Alpena County,0,0,5939,142
Antrim County,3,0,4728,70
Arenac County,3,0,3430,71
Baraga County,2,0,2193,55
Barry County,9,0,15177,173
Bay County,12,0,28755,600
Benzie County,3,0,3704,70
Berrien County,32,1,37158,581
Branch County,8,0,11770,188
Calhoun County,31,1,36736,595
Cass County,7,0,11672,148
Charlevoix County,3,0,5278,60
Cheboygan County,4,0,5111,108
Chippewa County,6,0,9170,105
Clare County,4,0,7177,159
Clinton County,19,0,23432,211
Crawford County,4,0,2799,31
Delta County,11,0,10680,161
Dickinson County,7,0,7833,113
Eaton County,27,0,29500,419
Emmet County,4,0,6914,93
Genesee County,79,1,109610,1792
Gladwin County,4,0,5878,116
Gogebic County,8,0,3585,71
Grand Traverse County,15,0,19064,245
Gratiot County,4,0,11515,189
Hillsdale County,14,0,10986,204
Houghton County,12,0,8434,98
Huron County,5,0,8557,147
Ingham County,78,1,71362,794
Ionia County,9,0,17550,182
Iosco County,2,0,5122,150
Iron County,4,0,2868,88
Isabella County,8,0,16501,220
Jackson County,35,0,42670,573
Kalamazoo County,84,1,65446,694
Kalkaska County,3,0,3939,62
Kent County,126,2,180084,1579
Keweenaw County,1,0,570,13
Lake County,2,0,2035,39
Lapeer County,12,0,21423,425
Leelanau County,3,0,3946,59
Lenawee County,21,0,26530,330
Livingston County,42,1,50411,471
Luce County,0,0,1527,16
Mackinac County,1,0,2668,31
Macomb County,254,2,254838,4081
Manistee County,3,0,4035,94
Marquette County,17,0,16598,139
Mason County,8,0,7244,96
Mecosta County,6,0,9212,112
Menominee County,6,0,5976,72
Midland County,14,0,20615,233
Missaukee County,3,0,3094,63
Monroe County,27,0,41616,486
Montcalm County,12,0,15915,217
Montmorency County,1,0,1802,48
Muskegon County,35,0,42566,647
Newaygo County,7,0,12134,161
Oakland County,386,2,326681,3972
Oceana County,5,0,6752,91
Ogemaw County,2,0,4545,108
Ontonagon County,1,0,1080,40
Osceola County,3,0,5346,83
Oscoda County,0,0,1527,57
Otsego County,4,0,6066,104
Ottawa County,52,1,79787,813
Presque Isle County,0,0,2199,61
Roscommon County,5,0,4945,119
Saginaw County,37,0,53284,969
Sanilac County,7,0,9178,202
Schoolcraft County,1,0,1879,16
Shiawassee County,18,0,19076,232
St. Clair County,27,0,43661,845
St. Joseph County,10,0,14260,210
Tuscola County,8,0,13898,285
Van Buren County,13,0,18213,282
Washtenaw County,126,1,91896,538
Wayne County,434,4,448588,8143
Wexford County,6,0,7613,110
