County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Aitkin County,0,0,3184,63
Anoka County,0,0,105106,808
Becker County,0,0,9244,96
Beltrami County,0,0,12551,128
Benton County,0,0,14910,177
Big Stone County,0,0,1465,9
Blue Earth County,0,0,19001,105
Brown County,0,0,6832,81
Carlton County,0,0,9771,100
Carver County,0,0,28686,119
Cass County,0,0,7423,84
Chippewa County,0,0,3260,48
Chisago County,0,0,15410,120
Clay County,0,0,20805,127
Clearwater County,0,0,2207,31
Cook County,0,0,651,4
Cottonwood County,0,0,3330,41
Crow Wing County,0,0,16901,172
Dakota County,0,0,119858,796
Dodge County,0,0,6095,22
Douglas County,0,0,11579,119
Faribault County,0,0,4001,54
Fillmore County,0,0,5090,24
Freeborn County,0,0,9476,78
Goodhue County,0,0,14138,140
Grant County,0,0,1550,12
Hennepin County,0,0,333729,2634
Houston County,0,0,4850,20
Hubbard County,0,0,5177,60
Isanti County,0,0,10611,119
Itasca County,0,0,11877,149
Jackson County,0,0,2221,17
Kanabec County,0,0,3743,57
Kandiyohi County,0,0,14043,142
Kittson County,0,0,1076,28
Koochiching County,0,0,3036,38
Lac qui Parle County,0,0,1843,29
Lake County,0,0,2277,30
Lake of the Woods County,0,0,812,6
Le Sueur County,0,0,6739,51
Lincoln County,0,0,1252,6
Lyon County,0,0,7314,74
Mahnomen County,0,0,1875,18
Marshall County,0,0,2165,24
Martin County,0,0,5864,65
McLeod County,0,0,11278,108
Meeker County,0,0,6223,75
Mille Lacs County,0,0,7586,117
Morrison County,0,0,9594,106
Mower County,0,0,12474,74
Murray County,0,0,2116,19
Nicollet County,0,0,8684,68
Nobles County,0,0,7104,60
Norman County,0,0,1580,14
Olmsted County,0,0,46243,194
Otter Tail County,0,0,14178,172
Pennington County,0,0,3783,41
Pine County,0,0,7509,68
Pipestone County,0,0,2051,34
Polk County,0,0,9247,110
Pope County,0,0,3354,19
Ramsey County,0,0,137147,1373
Red Lake County,0,0,962,13
Redwood County,0,0,4112,54
Renville County,0,0,3918,58
Rice County,0,0,18935,184
Rock County,0,0,2403,35
Roseau County,0,0,4621,45
Scott County,0,0,43055,266
Sherburne County,0,0,28504,183
Sibley County,0,0,3730,25
St. Louis County,0,0,51870,546
Stearns County,0,0,53747,373
Steele County,0,0,10932,63
Stevens County,0,0,2831,14
Swift County,0,0,2382,33
Todd County,0,0,7137,61
Traverse County,0,0,893,10
Wabasha County,0,0,6009,19
Wadena County,0,0,4429,58
Waseca County,0,0,5768,39
Washington County,0,0,72826,494
Watonwan County,0,0,3062,24
Wilkin County,0,0,1714,22
Winona County,0,0,13888,74
Wright County,0,0,38356,306
Yellow Medicine County,0,0,2684,30
