County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,25,0,7761,145
Alcorn County,38,0,10688,161
Amite County,8,0,3434,69
Attala County,22,0,5733,114
Benton County,5,0,2386,49
Bolivar County,30,0,9923,180
Calhoun County,9,0,4801,71
Carroll County,6,0,2716,55
Chickasaw County,17,0,5878,97
Choctaw County,7,0,2488,33
Claiborne County,9,0,2268,46
Clarke County,6,0,4363,108
Clay County,15,0,5237,98
Coahoma County,20,0,6925,127
Copiah County,31,0,7888,121
Covington County,28,0,7502,114
DeSoto County,126,0,53805,556
Forrest County,80,0,23488,316
Franklin County,8,0,2022,38
George County,25,0,7574,88
Greene County,12,0,3396,59
Grenada County,10,0,5767,132
Hancock County,41,0,13078,153
Harrison County,189,0,57321,669
Hinds County,241,1,57355,799
Holmes County,14,0,4637,104
Humphreys County,4,0,2108,47
Issaquena County,1,0,280,9
Itawamba County,19,0,7782,145
Jackson County,129,1,39544,469
Jasper County,14,0,5231,75
Jefferson County,7,0,1585,37
Jefferson Davis County,11,0,3031,55
Jones County,79,0,22315,297
Kemper County,3,0,2288,49
Lafayette County,40,0,16343,179
Lamar County,60,0,18600,160
Lauderdale County,24,0,19572,371
Lawrence County,11,0,3806,56
Leake County,21,0,6737,121
Lee County,88,0,28471,303
Leflore County,21,0,7783,171
Lincoln County,30,0,8854,158
Lowndes County,60,0,18495,241
Madison County,102,0,26545,334
Marion County,25,0,7368,136
Marshall County,18,0,10465,176
Monroe County,30,0,11480,223
Montgomery County,8,0,3120,79
Neshoba County,22,0,11028,241
Newton County,11,0,6303,98
Noxubee County,14,0,2881,48
Oktibbeha County,29,0,11707,165
Panola County,23,0,11084,170
Pearl River County,41,0,15942,278
Perry County,9,0,3212,64
Pike County,35,0,10359,189
Pontotoc County,28,0,10875,147
Prentiss County,22,0,8604,103
Quitman County,2,0,1661,31
Rankin County,147,0,39667,492
Scott County,18,0,6872,119
Sharkey County,3,0,1039,27
Simpson County,30,0,7466,150
Smith County,14,0,4352,69
Stone County,18,0,5689,72
Sunflower County,11,0,5979,126
Tallahatchie County,7,0,3345,60
Tate County,22,0,7862,145
Tippah County,18,0,7760,109
Tishomingo County,16,0,6489,122
Tunica County,5,0,2723,48
Union County,28,0,9969,123
Walthall County,13,0,3837,80
Warren County,38,0,11018,204
Washington County,30,0,10979,200
Wayne County,11,0,6184,87
Webster County,8,0,3507,70
Wilkinson County,2,0,1848,46
Winston County,17,0,5573,104
Yalobusha County,7,0,4333,57
Yazoo County,26,0,8502,109
