County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adair County,0,0,5502,62
Andrew County,0,0,4758,56
Atchison County,0,0,1390,21
Audrain County,0,0,5734,111
Barry County,0,0,6625,127
Barton County,0,0,2844,51
Bates County,0,0,3746,92
Benton County,0,0,4179,103
Bollinger County,0,0,2589,38
Boone County,0,0,43350,250
Buchanan County,0,0,22740,307
Butler County,0,0,10111,166
Caldwell County,0,0,1694,38
Callaway County,0,0,12072,127
Camden County,0,0,9280,179
Cape Girardeau County,0,0,18740,241
Carroll County,0,0,2226,44
Carter County,0,0,1499,24
Cass County,0,0,24967,307
Cedar County,0,0,2922,55
Chariton County,0,0,1699,36
Christian County,0,0,20868,256
Clark County,0,0,1590,32
Clay County,0,0,26987,351
Clinton County,0,0,4804,117
Cole County,0,0,20121,282
Cooper County,0,0,4141,75
Crawford County,0,0,5396,101
Dade County,0,0,1439,41
Dallas County,0,0,3812,71
Daviess County,0,0,1716,28
DeKalb County,0,0,2204,45
Dent County,0,0,3261,81
Douglas County,0,0,2550,79
Dunklin County,0,0,7456,117
Franklin County,0,0,22675,338
Gasconade County,0,0,3334,95
Gentry County,0,0,2158,31
Greene County,0,0,69975,1023
Grundy County,0,0,2485,67
Harrison County,0,0,1821,33
Henry County,0,0,5741,83
Hickory County,0,0,1827,56
Holt County,0,0,1055,29
Howard County,0,0,2167,25
Howell County,0,0,9002,210
Iron County,0,0,2197,43
Jackson County,0,0,208774,2482
Jasper County,0,0,34597,527
Jefferson County,0,0,53990,640
Johnson County,0,0,12165,140
Knox County,0,0,977,13
Laclede County,0,0,8102,175
Lafayette County,0,0,7793,128
Lawrence County,0,0,7786,164
Lewis County,0,0,2745,35
Lincoln County,0,0,15127,137
Linn County,0,0,2549,64
Livingston County,0,0,3751,96
Macon County,0,0,3634,53
Madison County,0,0,3601,57
Maries County,0,0,1599,37
Marion County,0,0,7961,118
McDonald County,0,0,5353,67
Mercer County,0,0,697,13
Miller County,0,0,6101,118
Mississippi County,0,0,3457,56
Moniteau County,0,0,3814,56
Monroe County,0,0,2173,42
Montgomery County,0,0,2500,57
Morgan County,0,0,4025,109
New Madrid County,0,0,5030,85
Newton County,0,0,11730,203
Nodaway County,0,0,5740,44
Oregon County,0,0,2022,33
Osage County,0,0,3212,44
Ozark County,0,0,1710,55
Pemiscot County,0,0,3006,74
Perry County,0,0,4989,45
Pettis County,0,0,12208,160
Phelps County,0,0,10185,240
Pike County,0,0,4238,63
Platte County,0,0,10378,101
Polk County,0,0,8040,108
Pulaski County,0,0,8818,114
Putnam County,0,0,995,23
Ralls County,0,0,2455,26
Randolph County,0,0,6013,102
Ray County,0,0,5147,93
Reynolds County,0,0,1158,25
Ripley County,0,0,2690,61
Saline County,0,0,6269,102
Schuyler County,0,0,735,26
Scotland County,0,0,681,18
Scott County,0,0,11109,159
Shannon County,0,0,1607,38
Shelby County,0,0,1555,15
St. Charles County,0,0,93814,918
St. Clair County,0,0,2102,34
St. Francois County,0,0,19070,294
St. Louis County,0,0,215940,3129
St. Louis city,0,0,56254,772
Ste. Genevieve County,0,0,3655,39
Stoddard County,0,0,6103,128
Stone County,0,0,5784,120
Sullivan County,0,0,1706,21
Taney County,0,0,13307,223
Texas County,0,0,4719,100
Vernon County,0,0,5051,109
Warren County,0,0,8133,102
Washington County,0,0,5983,137
Wayne County,0,0,2400,53
Webster County,0,0,9025,146
Worth County,0,0,401,3
Wright County,0,0,3834,80
