County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Beaverhead County,1,0,2240,30
Big Horn County,2,0,5070,100
Blaine County,2,0,2169,33
Broadwater County,1,0,1349,21
Carbon County,2,0,2159,28
Carter County,0,0,262,5
Cascade County,33,0,26316,348
Chouteau County,2,0,1042,15
Custer County,1,0,3126,49
Daniels County,1,0,401,9
Dawson County,2,0,2422,58
Deer Lodge County,4,0,2732,29
Fallon County,1,0,699,10
Fergus County,1,0,2584,57
Flathead County,29,0,30624,288
Gallatin County,38,0,37199,123
Garfield County,0,0,243,3
Glacier County,2,0,4152,75
Golden Valley County,0,0,152,5
Granite County,2,0,575,10
Hill County,3,0,4726,73
Jefferson County,4,0,2769,25
Judith Basin County,0,0,236,1
Lake County,11,0,7103,101
Lewis and Clark County,29,0,19061,191
Liberty County,0,0,435,4
Lincoln County,7,0,4997,91
Madison County,5,0,1971,22
McCone County,0,0,394,9
Meagher County,0,0,462,10
Mineral County,2,0,1181,17
Missoula County,47,0,29579,212
Musselshell County,0,0,948,31
Park County,8,0,4627,35
Petroleum County,0,0,35,1
Phillips County,0,0,1084,29
Pondera County,1,0,1249,9
Powder River County,0,0,365,10
Powell County,1,0,1936,29
Prairie County,0,0,270,3
Ravalli County,7,0,7404,165
Richland County,0,0,2717,36
Roosevelt County,2,0,3356,75
Rosebud County,0,0,2701,61
Sanders County,1,0,2225,52
Sheridan County,1,0,752,11
Silver Bow County,9,0,8924,134
Stillwater County,1,0,1586,32
Sweet Grass County,1,0,812,13
Teton County,2,0,1355,24
Toole County,1,0,1293,25
Treasure County,0,0,136,1
Valley County,3,0,1800,38
Wheatland County,0,0,395,14
Wibaux County,0,0,208,8
Yellowstone County,40,0,44737,562
