County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,0,0,6499,46
Antelope County,0,0,1075,7
Arthur County,0,0,32,1
Banner County,0,0,89,0
Blaine County,0,0,67,0
Boone County,0,0,1091,4
Box Butte County,0,0,2336,8
Boyd County,0,0,404,3
Brown County,0,0,506,2
Buffalo County,0,0,12000,57
Burt County,0,0,1343,12
Butler County,0,0,1903,11
Cass County,0,0,6124,16
Cedar County,0,0,1506,11
Chase County,0,0,744,5
Cherry County,0,0,537,7
Cheyenne County,0,0,2025,16
Clay County,0,0,1515,11
Colfax County,0,0,2737,21
Cuming County,0,0,1806,15
Custer County,0,0,2030,19
Dakota County,0,0,6900,65
Dawes County,0,0,1361,12
Dawson County,0,0,5261,31
Deuel County,0,0,322,1
Dixon County,0,0,1182,9
Dodge County,0,0,10107,62
Douglas County,0,0,149432,718
Dundy County,0,0,349,4
Fillmore County,0,0,1127,8
Franklin County,0,0,421,4
Frontier County,0,0,543,1
Furnas County,0,0,1122,5
Gage County,0,0,3588,19
Garden County,0,0,368,1
Garfield County,0,0,399,1
Gosper County,0,0,372,5
Grant County,0,0,106,4
Greeley County,0,0,410,1
Hall County,0,0,16513,117
Hamilton County,0,0,2254,17
Harlan County,0,0,378,0
Hayes County,0,0,106,0
Hitchcock County,0,0,530,5
Holt County,0,0,2147,16
Hooker County,0,0,112,2
Howard County,0,0,1189,10
Jefferson County,0,0,1211,1
Johnson County,0,0,868,9
Kearney County,0,0,1182,5
Keith County,0,0,1539,10
Keya Paha County,0,0,118,0
Kimball County,0,0,769,1
Knox County,0,0,1677,12
Lancaster County,0,0,78065,0
Lincoln County,0,0,8708,60
Logan County,0,0,148,0
Loup County,0,0,87,0
Madison County,0,0,9685,44
McPherson County,0,0,74,1
Merrick County,0,0,1703,15
Morrill County,0,0,1243,7
Nance County,0,0,802,10
Nemaha County,0,0,1485,15
Nuckolls County,0,0,977,11
Otoe County,0,0,3344,10
Pawnee County,0,0,412,1
Perkins County,0,0,530,11
Phelps County,0,0,2326,10
Pierce County,0,0,1272,20
Platte County,0,0,8648,50
Polk County,0,0,1219,9
Red Willow County,0,0,2329,15
Richardson County,0,0,1807,19
Rock County,0,0,172,2
Saline County,0,0,3796,2
Sarpy County,0,0,49702,131
Saunders County,0,0,5023,16
Scotts Bluff County,0,0,9439,48
Seward County,0,0,3371,32
Sheridan County,0,0,1000,10
Sherman County,0,0,586,4
Sioux County,0,0,65,0
Stanton County,0,0,744,11
Thayer County,0,0,1109,4
Thomas County,0,0,96,1
Thurston County,0,0,1782,11
Valley County,0,0,752,2
Washington County,0,0,4552,25
Wayne County,0,0,1823,7
Webster County,0,0,712,7
Wheeler County,0,0,127,0
York County,0,0,3920,11
