County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Carson City,26,0,15976,224
Churchill County,11,0,6944,116
Clark County,799,4,593763,8689
Douglas County,11,0,8036,93
Elko County,12,0,12116,139
Esmeralda County,0,0,113,3
Eureka County,0,0,172,2
Humboldt County,2,0,2630,58
Lander County,2,0,1223,21
Lincoln County,0,0,557,8
Lyon County,21,0,11028,178
Mineral County,2,0,1363,18
Nye County,11,0,8110,276
Pershing County,3,0,2243,30
Storey County,0,0,159,12
Washoe County,202,5,116428,1252
White Pine County,0,0,1707,22
