County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Atlantic County,126,0,76625,1021
Bergen County,477,1,265517,3518
Burlington County,184,1,117487,1256
Camden County,188,1,141400,1857
Cape May County,43,0,25108,311
Cumberland County,66,0,43264,617
Essex County,415,1,242680,3640
Gloucester County,96,1,77742,987
Hudson County,344,0,197216,2746
Hunterdon County,37,0,28591,280
Mercer County,156,0,90210,1284
Middlesex County,419,1,226624,2900
Monmouth County,253,1,187999,2239
Morris County,260,0,139356,1581
Ocean County,229,1,181109,3049
Passaic County,215,1,161609,2362
Salem County,19,0,15609,252
Somerset County,152,0,80642,984
Sussex County,47,0,38179,502
Union County,262,1,163998,2401
Warren County,37,0,26770,346
