County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Bernalillo County,315,2,167344,1972
Catron County,0,0,441,17
Chaves County,33,0,22196,341
Cibola County,13,0,7962,199
Colfax County,2,0,2537,67
Curry County,16,0,13527,212
De Baca County,0,0,621,6
Doña Ana County,98,0,67719,810
Eddy County,20,0,17595,293
Grant County,15,0,7843,96
Guadalupe County,1,0,1172,17
Harding County,0,0,90,4
Hidalgo County,1,0,1163,15
Lea County,35,1,19869,362
Lincoln County,14,0,5708,68
Los Alamos County,15,0,3817,17
Luna County,10,0,7169,133
McKinley County,52,0,28035,595
Mora County,1,0,867,20
Otero County,18,0,14298,193
Quay County,5,0,2150,59
Rio Arriba County,17,0,11213,145
Roosevelt County,7,0,5241,98
San Juan County,82,1,44320,788
San Miguel County,13,0,6610,67
Sandoval County,67,0,38151,461
Santa Fe County,71,1,33982,323
Sierra County,2,0,2259,79
Socorro County,7,0,4125,92
Taos County,10,0,6166,96
Torrance County,2,0,2910,58
Union County,1,0,828,17
Valencia County,32,0,20436,286
