County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Alamance County,59,1,51563,505
Alexander County,10,0,10814,144
Alleghany County,2,0,3103,17
Anson County,9,0,7013,101
Ashe County,6,0,6584,84
Avery County,4,0,4840,46
Beaufort County,17,0,13559,178
Bertie County,4,0,4560,71
Bladen County,13,0,10052,133
Brunswick County,55,0,33799,340
Buncombe County,75,1,59885,606
Burke County,28,0,26656,334
Cabarrus County,83,0,61070,508
Caldwell County,33,0,23790,312
Camden County,1,0,1905,9
Carteret County,34,0,15681,134
Caswell County,5,0,5771,53
Catawba County,57,0,50901,616
Chatham County,22,0,14743,121
Cherokee County,8,0,7487,125
Chowan County,5,0,4432,62
Clay County,5,0,2806,47
Cleveland County,39,0,31352,405
Columbus County,17,0,16638,271
Craven County,47,0,26990,212
Cumberland County,134,1,95635,669
Currituck County,5,0,5439,37
Dare County,12,0,8481,27
Davidson County,41,1,46416,440
Davie County,14,0,12293,110
Duplin County,22,0,17569,250
Durham County,144,0,85557,345
Edgecombe County,19,0,14554,155
Forsyth County,129,1,102808,850
Franklin County,24,0,22656,82
Gaston County,84,1,70076,871
Gates County,1,0,2047,20
Graham County,7,0,2413,31
Granville County,31,0,16031,118
Greene County,5,0,6172,71
Guilford County,148,1,132608,1254
Halifax County,22,0,15141,189
Harnett County,40,0,36153,346
Haywood County,17,0,14282,226
Henderson County,44,0,27152,327
Hertford County,10,0,5135,90
Hoke County,22,0,16355,121
Hyde County,1,0,1470,14
Iredell County,52,0,52290,484
Jackson County,10,0,10396,99
Johnston County,74,0,64769,461
Jones County,5,0,2420,39
Lee County,18,0,17177,152
Lenoir County,24,0,16743,234
Lincoln County,29,0,25993,184
Macon County,17,0,8437,123
Madison County,4,0,5566,81
Martin County,9,0,6564,95
McDowell County,22,0,14727,176
Mecklenburg County,445,1,310872,1670
Mitchell County,6,0,3890,40
Montgomery County,8,0,7623,133
Moore County,32,0,26469,332
Nash County,33,0,28063,323
New Hanover County,86,0,55542,404
Northampton County,7,0,4755,87
Onslow County,66,0,56184,387
Orange County,57,0,32365,139
Pamlico County,9,0,2895,29
Pasquotank County,9,0,9104,129
Pender County,19,0,16302,133
Perquimans County,2,0,2953,25
Person County,16,0,10304,111
Pitt County,71,0,56967,252
Polk County,6,0,4172,65
Randolph County,34,0,37796,458
Richmond County,20,0,13841,195
Robeson County,62,0,43915,548
Rockingham County,24,0,23565,301
Rowan County,48,0,44004,598
Rutherford County,23,0,18533,408
Sampson County,24,0,19828,188
Scotland County,9,0,10884,135
Stanly County,16,0,20461,265
Stokes County,15,0,12164,185
Surry County,45,0,22786,359
Swain County,5,0,3992,46
Transylvania County,11,0,6703,77
Tyrrell County,2,0,1041,9
Union County,82,0,67427,500
Vance County,22,0,12947,125
Wake County,428,1,338721,1171
Warren County,8,0,4772,47
Washington County,3,0,3250,51
Watauga County,10,0,12852,69
Wayne County,59,0,33823,414
Wilkes County,23,0,18874,276
Wilson County,30,1,23286,327
Yadkin County,15,0,11985,121
Yancey County,4,0,5638,58
