County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,0,0,623,10
Barnes County,3,0,3102,47
Benson County,2,0,2028,23
Billings County,0,0,154,1
Bottineau County,2,0,1682,26
Bowman County,1,0,865,9
Burke County,0,0,446,3
Burleigh County,37,0,36417,303
Cass County,51,0,62665,333
Cavalier County,2,0,868,7
Dickey County,1,0,1523,39
Divide County,1,0,489,4
Dunn County,1,0,1080,8
Eddy County,1,0,783,6
Emmons County,0,0,743,18
Foster County,0,0,1023,23
Golden Valley County,0,0,482,4
Grand Forks County,18,0,23382,125
Grant County,1,0,470,11
Griggs County,1,0,600,2
Hettinger County,1,0,839,8
Kidder County,0,0,534,13
LaMoure County,1,0,1033,20
Logan County,1,0,450,12
McHenry County,0,0,1387,31
McIntosh County,2,0,713,9
McKenzie County,3,0,3362,25
McLean County,1,0,2810,49
Mercer County,1,0,2666,24
Morton County,13,0,11698,142
Mountrail County,5,0,3389,37
Nelson County,0,0,791,18
Oliver County,0,0,337,5
Pembina County,1,0,2098,16
Pierce County,2,0,1101,32
Ramsey County,2,0,3737,57
Ransom County,1,0,1569,28
Renville County,0,0,574,15
Richland County,2,0,4225,23
Rolette County,10,0,6572,43
Sargent County,1,0,1072,9
Sheridan County,1,0,309,7
Sioux County,2,0,1400,19
Slope County,0,0,66,0
Stark County,10,0,12068,86
Steele County,0,0,393,2
Stutsman County,5,0,7311,97
Towner County,0,0,670,12
Traill County,1,0,2250,26
Walsh County,7,0,3526,34
Ward County,16,0,21620,251
Wells County,1,0,1049,12
Williams County,11,0,10832,68
