County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adair County,25,2,8286,75
Alfalfa County,0,1,1728,16
Atoka County,6,3,4008,54
Beaver County,1,0,997,11
Beckham County,6,4,6080,106
Blaine County,3,2,2498,44
Bryan County,31,4,14107,137
Caddo County,21,6,8526,172
Canadian County,89,14,41476,393
Carter County,37,7,14867,242
Cherokee County,37,5,15117,153
Choctaw County,10,2,4151,64
Cimarron County,2,1,591,7
Cleveland County,197,31,83356,826
Coal County,3,1,1720,24
Comanche County,46,13,33819,401
Cotton County,1,1,1480,32
Craig County,10,3,4950,55
Creek County,39,11,18858,338
Custer County,14,6,8197,170
Delaware County,26,6,11546,204
Dewey County,2,2,1088,32
Ellis County,2,0,838,9
Garfield County,17,12,15515,295
Garvin County,13,7,7257,149
Grady County,24,9,14153,247
Grant County,1,1,1056,16
Greer County,1,2,1328,37
Harmon County,1,1,535,12
Harper County,1,0,735,12
Haskell County,5,2,2863,41
Hughes County,8,3,2663,62
Jackson County,13,3,6767,108
Jefferson County,1,1,1356,26
Johnston County,5,1,3105,55
Kay County,33,7,12769,217
Kingfisher County,5,2,4254,71
Kiowa County,3,2,1996,54
Latimer County,3,2,2315,35
Le Flore County,29,3,12901,107
Lincoln County,20,4,8181,142
Logan County,28,7,11389,162
Love County,7,2,3205,40
Major County,6,1,2524,41
Marshall County,11,3,4727,46
Mayes County,24,5,10785,163
McClain County,22,5,12135,138
McCurtain County,15,5,8257,166
McIntosh County,10,4,5004,125
Murray County,11,4,4315,78
Muskogee County,45,13,20673,350
Noble County,6,2,3122,41
Nowata County,4,2,2854,42
Okfuskee County,6,2,3603,62
Oklahoma County,505,86,208965,2490
Okmulgee County,14,7,9896,192
Osage County,27,6,11457,171
Ottawa County,32,4,9640,127
Pawnee County,10,3,4270,85
Payne County,48,7,19285,166
Pittsburg County,26,8,11166,211
Pontotoc County,36,7,12634,153
Pottawatomie County,56,13,21494,284
Pushmataha County,4,1,2724,45
Roger Mills County,1,1,916,16
Rogers County,62,14,26464,390
Seminole County,14,4,6313,135
Sequoyah County,30,2,11041,106
Stephens County,23,9,11629,205
Texas County,10,2,6125,55
Tillman County,2,2,1565,36
Tulsa County,401,71,179639,2192
Wagoner County,51,10,22859,277
Washington County,27,9,13163,263
Washita County,3,3,2695,55
Woods County,3,2,2403,38
Woodward County,7,4,5316,76
