County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Baker County,0,0,3204,46
Benton County,0,0,15102,66
Clackamas County,0,0,59978,581
Clatsop County,0,0,4596,47
Columbia County,0,0,7554,92
Coos County,0,0,10647,149
Crook County,0,0,6036,77
Curry County,0,0,3340,52
Deschutes County,0,0,45881,266
Douglas County,0,0,19726,380
Gilliam County,0,0,283,5
Grant County,0,0,1670,20
Harney County,0,0,1601,37
Hood River County,0,0,3548,42
Jackson County,0,0,42608,511
Jefferson County,0,0,7214,88
Josephine County,0,0,16314,322
Klamath County,0,0,14094,210
Lake County,0,0,1403,26
Lane County,0,0,57237,502
Lincoln County,0,0,7000,81
Linn County,0,0,26383,255
Malheur County,0,0,8203,108
Marion County,0,0,68793,697
Morrow County,0,0,2950,33
Multnomah County,0,0,113186,1135
Polk County,0,0,15243,127
Sherman County,0,0,318,5
Tillamook County,0,0,3645,60
Umatilla County,0,0,22327,208
Union County,0,0,5016,76
Wallowa County,0,0,1251,16
Wasco County,0,0,5119,60
Washington County,0,0,85081,553
Wheeler County,0,0,242,3
Yamhill County,0,0,17722,211
