County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,23,0,26706,381
Allegheny County,347,2,294798,3427
Armstrong County,13,0,16095,355
Beaver County,41,0,43136,762
Bedford County,5,0,11435,281
Berks County,83,1,109507,1627
Blair County,20,0,31158,637
Bradford County,10,0,17293,214
Bucks County,125,2,135843,1964
Butler County,44,0,47860,756
Cambria County,29,1,36697,748
Cameron County,0,0,875,21
Carbon County,13,0,17123,308
Centre County,30,0,38260,361
Chester County,99,0,102548,1189
Clarion County,5,0,8691,209
Clearfield County,18,0,20574,355
Clinton County,8,0,9691,130
Columbia County,13,0,16447,253
Crawford County,14,0,21215,329
Cumberland County,49,1,54939,913
Dauphin County,53,0,63116,983
Delaware County,127,1,122621,1902
Elk County,7,0,7528,104
Erie County,45,0,62108,795
Fayette County,41,0,33096,687
Forest County,1,0,2310,35
Franklin County,41,0,43021,709
Fulton County,4,0,4317,66
Greene County,8,0,8983,107
Huntingdon County,7,0,12080,255
Indiana County,15,0,18682,369
Jefferson County,7,0,9564,245
Juniata County,8,0,5011,180
Lackawanna County,51,0,48775,804
Lancaster County,106,0,129399,1936
Lawrence County,16,0,19996,426
Lebanon County,36,0,38944,526
Lehigh County,80,0,96952,1277
Luzerne County,63,1,80495,1428
Lycoming County,24,0,30463,540
McKean County,5,0,8645,150
Mercer County,19,0,24745,509
Mifflin County,12,0,12877,282
Monroe County,40,0,40759,544
Montgomery County,196,1,172362,2388
Montour County,4,0,4986,94
Northampton County,67,0,86699,1128
Northumberland County,26,0,24472,547
Perry County,9,0,9260,189
Philadelphia County,380,2,339988,5192
Pike County,9,0,11273,101
Potter County,1,0,3415,93
Schuylkill County,25,0,36625,696
Snyder County,5,0,8513,160
Somerset County,13,0,19676,413
Sullivan County,1,0,1153,36
Susquehanna County,6,0,8644,115
Tioga County,5,0,8740,200
Union County,7,0,12312,156
Venango County,9,0,11971,249
Warren County,7,0,8066,217
Washington County,72,0,55176,669
Wayne County,7,0,11117,176
Westmoreland County,77,0,85768,1412
Wyoming County,3,0,5610,113
York County,119,1,126872,1526
