County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Abbeville County,0,0,6655,69
Aiken County,0,0,41767,437
Allendale County,0,0,2093,24
Anderson County,0,0,58025,998
Bamberg County,0,0,3446,75
Barnwell County,0,0,5834,103
Beaufort County,0,0,43530,380
Berkeley County,0,0,52240,450
Calhoun County,0,0,2799,61
Charleston County,0,0,112905,945
Cherokee County,0,0,14761,322
Chester County,0,0,10134,153
Chesterfield County,0,0,11836,191
Clarendon County,0,0,8776,159
Colleton County,0,0,8913,221
Darlington County,0,0,18939,311
Dillon County,0,0,9729,144
Dorchester County,0,0,56325,496
Edgefield County,0,0,6779,71
Fairfield County,0,0,6007,107
Florence County,0,0,41861,631
Georgetown County,0,0,15958,227
Greenville County,0,0,173338,2008
Greenwood County,0,0,22607,305
Hampton County,0,0,5024,86
Horry County,0,0,97534,1159
Jasper County,0,0,5924,93
Kershaw County,0,0,21623,261
Lancaster County,0,0,25276,281
Laurens County,0,0,18667,295
Lee County,0,0,4272,95
Lexington County,0,0,96569,872
Marion County,0,0,8564,163
Marlboro County,0,0,7880,105
McCormick County,0,0,2244,40
Newberry County,0,0,13355,195
Oconee County,0,0,24348,343
Orangeburg County,0,0,23425,420
Pickens County,0,0,46111,632
Richland County,0,0,123578,947
Saluda County,0,0,3968,78
Spartanburg County,0,0,95357,1548
Sumter County,0,0,28100,394
Union County,0,0,7750,150
Williamsburg County,0,0,8557,146
York County,0,0,78263,678
