County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Aurora County,1,0,825,17
Beadle County,7,0,4830,60
Bennett County,1,0,811,15
Bon Homme County,1,0,2323,39
Brookings County,7,0,8469,56
Brown County,10,0,10634,121
Brule County,2,0,1481,22
Buffalo County,0,0,622,18
Butte County,5,0,2882,47
Campbell County,1,0,279,7
Charles Mix County,2,0,3019,35
Clark County,1,0,829,10
Clay County,2,0,3589,22
Codington County,12,0,8870,101
Corson County,0,0,1083,17
Custer County,3,0,2200,26
Davison County,5,0,6083,80
Day County,0,0,1320,35
Deuel County,1,0,1071,12
Dewey County,0,0,3145,44
Douglas County,0,0,700,16
Edmunds County,0,0,970,16
Fall River County,4,0,2017,39
Faulk County,1,0,599,17
Grant County,1,0,2111,51
Gregory County,1,0,1085,34
Haakon County,1,0,476,12
Hamlin County,1,0,1604,41
Hand County,2,0,601,13
Hanson County,1,0,671,6
Harding County,0,0,209,3
Hughes County,6,0,4498,58
Hutchinson County,0,0,1801,36
Hyde County,0,0,315,8
Jackson County,1,0,648,21
Jerauld County,0,0,423,20
Jones County,0,0,181,2
Kingsbury County,1,0,1369,22
Lake County,2,0,2391,28
Lawrence County,10,0,6961,84
Lincoln County,9,0,16028,102
Lyman County,1,0,1242,12
Marshall County,0,0,811,13
McCook County,1,0,1366,31
McPherson County,0,0,441,9
Meade County,9,0,7401,64
Mellette County,0,0,532,8
Miner County,0,0,477,13
Minnehaha County,44,0,59068,526
Moody County,3,0,1452,28
Oglala Lakota County,6,0,4087,61
Pennington County,39,0,34704,348
Perkins County,0,0,721,18
Potter County,0,0,708,7
Roberts County,1,0,2483,53
Sanborn County,0,0,600,7
Spink County,1,0,1461,36
Stanley County,2,0,662,8
Sully County,0,0,251,3
Todd County,1,0,3035,52
Tripp County,1,0,1449,25
Turner County,2,0,2028,62
Union County,1,0,4089,52
Walworth County,1,0,1370,26
Yankton County,4,0,6142,59
Ziebach County,0,0,671,11
