County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Anderson County,0,0,22095,334
Bedford County,0,0,14961,236
Benton County,0,0,4515,92
Bledsoe County,0,0,4661,57
Blount County,0,0,39149,436
Bradley County,0,0,33143,415
Campbell County,0,0,12231,167
Cannon County,0,0,4202,63
Carroll County,0,0,8957,156
Carter County,0,0,16491,335
Cheatham County,0,0,10913,119
Chester County,0,0,5848,97
Claiborne County,0,0,9105,178
Clay County,0,0,2293,50
Cocke County,0,0,11586,216
Coffee County,0,0,16947,267
Crockett County,0,0,5183,85
Cumberland County,0,0,16112,326
Davidson County,0,0,192129,1670
DeKalb County,0,0,6279,101
Decatur County,0,0,3732,70
Dickson County,0,0,15889,245
Dyer County,0,0,12797,201
Fayette County,0,0,11430,185
Fentress County,0,0,5699,128
Franklin County,0,0,12867,183
Gibson County,0,0,17415,259
Giles County,0,0,9412,190
Grainger County,0,0,6780,109
Greene County,0,0,22066,372
Grundy County,0,0,3986,73
Hamblen County,0,0,19709,353
Hamilton County,0,0,100018,1144
Hancock County,0,0,2011,36
Hardeman County,0,0,7595,116
Hardin County,0,0,8751,145
Hawkins County,0,0,16663,321
Haywood County,0,0,6179,102
Henderson County,0,0,9131,159
Henry County,0,0,8268,161
Hickman County,0,0,6831,110
Houston County,0,0,2678,61
Humphreys County,0,0,4841,74
Jackson County,0,0,3205,63
Jefferson County,0,0,15724,264
Johnson County,0,0,5167,93
Knox County,0,0,127636,1377
Lake County,0,0,2747,43
Lauderdale County,0,0,7743,105
Lawrence County,0,0,14295,202
Lewis County,0,0,3570,60
Lincoln County,0,0,9980,170
Loudon County,0,0,14496,192
Macon County,0,0,8447,145
Madison County,0,0,30025,426
Marion County,0,0,8857,131
Marshall County,0,0,10369,124
Maury County,0,0,29020,344
McMinn County,0,0,16680,260
McNairy County,0,0,7651,120
Meigs County,0,0,3390,57
Monroe County,0,0,14591,243
Montgomery County,0,0,50256,576
Moore County,0,0,2238,40
Morgan County,0,0,6190,86
Obion County,0,0,10765,194
Overton County,0,0,7142,123
Perry County,0,0,2329,56
Pickett County,0,0,1768,36
Polk County,0,0,4735,74
Putnam County,0,0,25114,304
Rhea County,0,0,9981,160
Roane County,0,0,15794,233
Robertson County,0,0,21555,302
Rutherford County,0,0,95804,900
Scott County,0,0,9040,117
Sequatchie County,0,0,4218,68
Sevier County,0,0,30322,415
Shelby County,0,0,235846,3299
Smith County,0,0,6163,84
Stewart County,0,0,3288,59
Sullivan County,0,0,45881,719
Sumner County,0,0,53214,727
Tipton County,0,0,17622,234
Trousdale County,0,0,4228,45
Unicoi County,0,0,5176,96
Union County,0,0,5399,75
Van Buren County,0,0,1848,48
Warren County,0,0,12998,176
Washington County,0,0,38629,493
Wayne County,0,0,5695,70
Weakley County,0,0,9525,151
White County,0,0,8229,129
Williamson County,0,0,62187,404
Wilson County,0,0,41683,483
