County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Anderson County,8,0,9899,240
Andrews County,6,0,3987,72
Angelina County,14,0,15840,484
Aransas County,13,0,4598,88
Archer County,2,0,2338,28
Armstrong County,1,0,585,10
Atascosa County,20,0,14253,232
Austin County,9,0,6218,75
Bailey County,0,0,1648,39
Bandera County,4,0,3838,77
Bastrop County,43,0,23497,240
Baylor County,1,0,838,32
Bee County,16,0,8869,154
Bell County,155,0,71883,914
Bexar County,976,1,606351,6188
Blanco County,4,0,2764,34
Borden County,0,0,103,2
Bosque County,4,0,4253,70
Bowie County,32,0,21157,437
Brazoria County,205,0,102484,991
Brazos County,122,0,65112,418
Brewster County,1,0,1137,31
Briscoe County,0,0,478,8
Brooks County,3,0,1750,52
Brown County,21,0,12489,229
Burleson County,8,0,5245,67
Burnet County,18,0,11773,173
Caldwell County,23,0,15437,176
Calhoun County,12,0,6096,51
Callahan County,4,0,3073,72
Cameron County,211,1,115034,2049
Camp County,2,0,2956,75
Carson County,1,0,1569,37
Cass County,10,0,7539,197
Castro County,3,0,2378,47
Chambers County,16,0,11086,70
Cherokee County,10,0,8252,254
Childress County,2,0,2707,34
Clay County,1,0,2252,36
Cochran County,1,0,902,23
Coke County,3,0,924,20
Coleman County,1,0,1691,71
Collin County,489,0,233368,1519
Collingsworth County,1,0,731,16
Colorado County,5,0,3995,66
Comal County,58,0,37379,560
Comanche County,1,0,3777,78
Concho County,2,0,1151,11
Cooke County,11,0,7636,134
Coryell County,26,0,18439,214
Cottle County,1,0,333,9
Crane County,2,0,1334,24
Crockett County,1,0,1125,20
Crosby County,1,0,1938,45
Culberson County,0,0,521,14
Dallam County,2,0,2203,41
Dallas County,913,1,606133,6800
Dawson County,3,0,3046,95
DeWitt County,8,0,6726,100
Deaf Smith County,6,0,4962,114
Delta County,2,0,1876,25
Denton County,357,0,183025,1363
Dickens County,0,0,468,16
Dimmit County,5,0,5939,51
Donley County,1,0,1174,26
Duval County,8,0,3650,70
Eastland County,3,0,2893,113
Ector County,44,0,38523,707
Edwards County,1,0,499,11
El Paso County,62,0,51350,585
Ellis County,363,1,222479,3755
Erath County,7,0,8989,124
Falls County,5,0,3925,67
Fannin County,8,0,7136,183
Fayette County,5,0,4982,109
Fisher County,0,0,621,24
Floyd County,3,0,2014,48
Foard County,0,0,221,11
Fort Bend County,462,0,212403,1169
Franklin County,3,0,2294,44
Freestone County,3,0,3966,82
Frio County,5,0,6175,94
Gaines County,1,0,2236,83
Galveston County,221,0,105804,860
Garza County,1,0,1316,28
Gillespie County,6,0,5667,109
Glasscock County,0,0,213,3
Goliad County,2,0,1303,32
Gonzales County,4,0,4896,101
Gray County,5,0,6346,126
Grayson County,37,0,28123,644
Gregg County,30,0,24006,694
Grimes County,13,0,8998,125
Guadalupe County,58,0,40645,401
Hale County,11,0,6847,245
Hall County,1,0,1134,24
Hamilton County,1,0,1992,33
Hansford County,2,0,2007,29
Hardeman County,1,0,567,19
Hardin County,10,0,12470,251
Harris County,2,2,1121510,11063
Harrison County,15,0,13973,227
Hartley County,2,0,1386,3
Haskell County,1,0,921,39
Hays County,132,0,63249,437
Hemphill County,0,0,1266,7
Henderson County,18,0,15933,427
Hidalgo County,414,1,224146,3546
Hill County,11,0,9212,192
Hockley County,8,0,8022,163
Hood County,8,0,13801,278
Hopkins County,9,0,7474,181
Houston County,4,0,4361,113
Howard County,8,0,7084,185
Hudspeth County,1,0,1087,18
Hunt County,26,0,16508,365
Hutchinson County,6,0,6933,136
Irion County,1,0,494,3
Jack County,1,0,1564,28
Jackson County,5,0,3384,59
Jasper County,16,0,6566,188
Jeff Davis County,1,0,238,9
Jefferson County,105,0,54211,853
Jim Hogg County,6,0,2973,22
Jim Wells County,29,0,12242,211
Johnson County,51,0,45668,743
Jones County,3,0,4773,93
Karnes County,2,0,6125,71
Kaufman County,47,0,37367,535
Kendall County,8,0,8812,123
Kenedy County,0,0,88,2
Kent County,0,0,211,4
Kerr County,9,0,10102,186
Kimble County,2,0,761,15
King County,0,0,52,0
Kinney County,1,0,768,11
Kleberg County,21,0,7940,147
Knox County,0,0,532,25
La Salle County,5,0,5772,93
Lamar County,0,0,2460,49
Lamb County,11,0,9966,257
Lampasas County,4,0,4512,122
Lavaca County,3,0,4419,121
Lee County,10,0,4494,60
Leon County,3,0,3837,93
Liberty County,39,0,19382,405
Limestone County,7,0,5304,124
Lipscomb County,2,0,742,17
Live Oak County,1,0,2207,42
Llano County,7,0,4246,97
Loving County,3,0,271,1
Lubbock County,146,0,97361,1339
Lynn County,1,0,1574,38
Madison County,4,0,3893,57
Marion County,3,0,1750,60
Martin County,1,0,1257,26
Mason County,3,0,832,12
Matagorda County,18,0,9049,177
Maverick County,31,0,21608,471
McCulloch County,4,0,1393,47
McLennan County,108,0,64055,908
McMullen County,0,0,172,9
Medina County,15,0,10778,200
Menard County,2,0,554,12
Midland County,52,0,42242,497
Milam County,9,0,5189,102
Mills County,0,0,1481,37
Mitchell County,1,0,1914,49
Montague County,3,0,4804,129
Montgomery County,234,1,152922,1304
Moore County,2,0,5866,111
Morris County,3,0,2605,73
Motley County,0,0,293,13
Nacogdoches County,15,0,12917,259
Navarro County,15,0,12886,223
Newton County,3,0,1467,62
Nolan County,4,0,3171,99
Nueces County,191,0,89304,1277
Ochiltree County,2,0,2480,48
Oldham County,1,0,579,6
Orange County,13,0,15509,360
Palo Pinto County,6,0,7223,154
Panola County,6,0,4819,129
Parker County,33,0,36146,453
Parmer County,4,0,2441,53
Pecos County,6,0,2913,71
Polk County,10,0,8256,249
Potter County,31,0,30223,655
Presidio County,2,0,1040,38
Rains County,2,0,1911,59
Randall County,18,0,27876,493
Reagan County,1,0,896,14
Real County,2,0,876,25
Red River County,3,0,2383,67
Reeves County,5,0,4846,74
Refugio County,5,0,1895,37
Roberts County,0,0,179,2
Robertson County,8,0,4754,77
Rockwall County,35,0,28121,268
Runnels County,1,0,2467,67
Rusk County,8,0,11124,233
Sabine County,2,0,1332,89
San Augustine County,0,0,1114,44
San Jacinto County,7,0,5892,102
San Patricio County,25,0,12060,341
San Saba County,1,0,1277,35
Schleicher County,1,0,541,9
Scurry County,5,0,5134,104
Shackelford County,0,0,711,12
Shelby County,5,0,4619,134
Sherman County,0,0,504,16
Smith County,83,0,47862,974
Somervell County,0,0,2131,36
Starr County,27,0,21084,366
Stephens County,1,0,1919,46
Sterling County,0,0,255,7
Stonewall County,0,0,365,7
Sutton County,1,0,855,12
Swisher County,3,0,2359,34
Tarrant County,810,1,567741,5289
Taylor County,70,0,33302,732
Terrell County,0,0,127,3
Terry County,1,0,2823,85
Throckmorton County,0,0,275,8
Titus County,10,0,8888,129
Tom Green County,56,0,32743,466
Travis County,529,1,251333,1750
Trinity County,3,0,2820,73
Tyler County,18,0,3880,88
Upshur County,8,0,8125,186
Upton County,1,0,848,18
Uvalde County,10,0,10843,145
Val Verde County,13,0,14799,304
Van Zandt County,13,0,10778,284
Victoria County,34,0,20043,412
Walker County,24,0,20042,213
Waller County,17,0,10308,108
Ward County,3,0,2912,44
Washington County,17,0,9675,148
Webb County,73,0,100623,1039
Wharton County,23,0,9834,218
Wheeler County,1,0,1216,23
Wichita County,34,0,34251,684
Wilbarger County,4,0,3632,88
Willacy County,10,0,7616,133
Williamson County,278,0,145595,884
Wilson County,14,0,11514,160
Winkler County,2,0,1885,34
Wise County,23,0,17612,273
Wood County,9,0,8297,289
Yoakum County,0,0,1345,42
Young County,1,0,4151,95
Zapata County,4,0,3886,55
Zavala County,4,0,4188,68
