County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Beaver County,0,0,754,7
Box Elder County,13,0,14719,132
Cache County,31,0,38693,114
Carbon County,4,0,5476,47
Daggett County,0,0,37,0
Davis County,119,0,107319,415
Duchesne County,0,0,1217,9
Emery County,1,0,2594,28
Garfield County,0,0,466,10
Grand County,2,0,2542,6
Iron County,0,0,5374,32
Juab County,0,0,2896,26
Kane County,0,0,647,5
Millard County,0,0,3274,36
Morgan County,2,0,2962,15
Piute County,0,0,304,8
Rich County,0,0,355,3
Salt Lake County,392,1,370406,1668
San Juan County,7,0,4265,49
Sanpete County,0,0,8370,64
Sevier County,0,0,5446,33
Summit County,16,0,14692,27
Tooele County,23,0,22684,106
Uintah County,0,0,1757,18
Utah County,158,0,211057,810
Wasatch County,10,0,11250,36
Washington County,0,0,20522,204
Wayne County,0,0,443,0
Weber County,88,0,76663,450
