County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Accomack County,13,0,7561,108
Albemarle County,30,0,20964,172
Alexandria city,74,0,37776,195
Alleghany County,7,0,3632,99
Amelia County,4,0,2882,59
Amherst County,14,0,7930,92
Appomattox County,7,0,4157,54
Arlington County,127,0,55110,326
Augusta County,26,0,20464,215
Bath County,2,0,976,20
Bedford County,23,0,18484,247
Bland County,4,0,1890,24
Botetourt County,13,0,8115,105
Bristol city,9,0,4732,83
Brunswick County,3,0,3466,48
Buchanan County,5,0,5085,126
Buckingham County,6,0,4272,58
Buena Vista city,2,0,2150,45
Campbell County,33,0,14199,220
Caroline County,10,0,7578,89
Carroll County,15,0,7272,150
Charles City County,2,0,1271,29
Charlotte County,3,0,2734,45
Charlottesville city,17,0,10689,79
Chesapeake city,68,0,55272,514
Chesterfield County,149,1,83369,782
Clarke County,3,0,2943,46
Colonial Heights city,9,0,5378,101
Covington city,3,0,1510,28
Craig County,1,0,1174,20
Culpeper County,15,0,12153,154
Cumberland County,3,0,1491,27
Danville city,19,0,12102,286
Dickenson County,8,0,3566,51
Dinwiddie County,10,0,5946,95
Emporia city,2,0,1261,55
Essex County,2,0,2403,35
Fairfax County,443,1,215718,1488
Fairfax city,3,0,2236,44
Falls Church city,7,0,2757,17
Fauquier County,17,0,14186,150
Floyd County,5,0,2772,49
Fluvanna County,8,0,5788,47
Franklin County,14,0,11849,200
Franklin city,2,0,2426,52
Frederick County,34,0,22431,254
Fredericksburg city,7,0,5970,41
Galax city,9,0,2801,79
Giles County,4,0,4336,50
Gloucester County,8,0,7968,106
Goochland County,10,0,4605,54
Grayson County,6,0,4308,83
Greene County,7,0,4391,62
Greensville County,2,0,3517,41
Halifax County,11,0,7990,165
Hampton city,67,0,31637,336
Hanover County,31,0,24336,293
Harrisonburg city,10,0,14148,166
Henrico County,134,1,75074,961
Henry County,16,0,13290,274
Highland County,0,0,407,7
Hopewell city,9,0,6574,119
Isle of Wight County,9,0,7944,119
James City County,32,0,17449,127
King George County,11,0,5694,44
King William County,5,0,4006,45
King and Queen County,1,0,1214,12
Lancaster County,2,0,1999,32
Lee County,9,0,6459,94
Lexington city,1,0,2960,40
Loudoun County,132,0,81818,392
Louisa County,11,0,7385,85
Lunenburg County,4,0,2731,39
Lynchburg city,21,0,21047,279
Madison County,2,0,2621,43
Manassas Park city,8,0,4154,27
Manassas city,13,0,10045,72
Martinsville city,4,0,3672,124
Mathews County,2,0,1638,27
Mecklenburg County,5,0,6712,127
Middlesex County,2,0,2026,48
Montgomery County,28,0,20938,157
Nelson County,4,0,2798,36
New Kent County,8,0,5112,34
Newport News city,73,0,40990,411
Norfolk city,61,0,46684,482
Northampton County,4,0,2375,66
Northumberland County,2,0,2342,44
Norton city,2,0,1413,22
Nottoway County,5,0,4603,94
Orange County,13,0,7499,90
Page County,4,0,5898,123
Patrick County,4,0,3940,97
Petersburg city,10,0,8770,142
Pittsylvania County,18,0,15391,210
Poquoson city,3,0,2568,30
Portsmouth city,24,0,22764,339
Powhatan County,7,0,5588,62
Prince Edward County,8,0,5441,77
Prince George County,12,0,9608,80
Prince William County,169,0,107674,754
Pulaski County,14,0,7908,141
Radford city,4,0,5364,53
Rappahannock County,1,0,1114,10
Richmond County,1,0,2690,25
Richmond city,91,0,51244,518
Roanoke County,34,0,23434,287
Roanoke city,39,0,23416,382
Rockbridge County,8,0,3627,80
Rockingham County,18,0,15418,236
Russell County,9,0,7269,116
Salem city,5,0,6158,99
Scott County,7,0,6095,111
Shenandoah County,10,0,11510,232
Smyth County,19,0,9448,175
Southampton County,5,0,3703,96
Spotsylvania County,49,0,30147,304
Stafford County,62,0,34751,179
Staunton city,10,0,6197,117
Suffolk city,33,0,20786,310
Surry County,1,0,1181,20
Sussex County,2,0,2576,43
Tazewell County,22,0,10961,177
Virginia Beach city,136,1,99686,847
Warren County,12,0,9347,160
Washington County,29,0,14774,217
Waynesboro city,10,0,6416,68
Westmoreland County,3,0,3472,53
Williamsburg city,4,0,1957,23
Winchester city,7,0,6841,81
Wise County,18,0,11146,204
Wythe County,14,0,8063,150
York County,19,0,11333,112
