County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,9,0,5147,39
Asotin County,8,0,4824,70
Benton County,57,1,55987,491
Chelan County,25,0,21717,169
Clallam County,21,0,13641,158
Clark County,122,1,99586,860
Columbia County,1,0,658,16
Cowlitz County,27,1,24854,361
Douglas County,17,0,12010,73
Ferry County,1,0,1545,29
Franklin County,32,0,33927,216
Garfield County,0,0,423,7
Grant County,36,0,27394,220
Grays Harbor County,16,0,18303,208
Island County,14,0,11839,86
Jefferson County,12,0,3830,30
King County,982,3,477430,2935
Kitsap County,63,0,45746,366
Kittitas County,17,0,9394,72
Klickitat County,2,0,3862,51
Lewis County,21,1,19010,267
Lincoln County,3,0,2389,29
Mason County,16,0,13671,147
Okanogan County,13,0,9199,128
Pacific County,6,0,4202,62
Pend Oreille County,2,0,2625,37
Pierce County,246,2,216871,1450
San Juan County,4,0,1700,2
Skagit County,38,0,24854,216
Skamania County,1,0,1650,12
Snohomish County,319,1,178525,1206
Spokane County,176,2,135986,1443
Stevens County,8,0,8774,152
Thurston County,86,0,55133,432
Wahkiakum County,395,0,3327,6
Walla Walla County,-2,-20,570,7
Whatcom County,-3,-22,16790,151
Whitman County,4,31,43815,309
Yakima County,-9,-101,9076,90
