County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Barbour County,3,0,5165,74
Berkeley County,44,0,38502,310
Boone County,9,0,7145,78
Braxton County,9,0,4286,45
Brooke County,4,0,5411,104
Cabell County,37,0,29659,388
Calhoun County,2,0,2000,15
Clay County,1,0,2446,47
Doddridge County,2,0,2241,18
Fayette County,25,0,14129,212
Gilmer County,3,0,2233,19
Grant County,4,0,3974,56
Greenbrier County,14,0,10553,165
Hampshire County,7,0,6253,74
Hancock County,10,0,7259,143
Hardy County,7,0,4463,49
Harrison County,34,0,21863,259
Jackson County,12,0,7365,136
Jefferson County,21,0,15641,137
Kanawha County,77,1,51161,752
Lewis County,10,0,5901,89
Lincoln County,6,0,5929,84
Logan County,17,0,10500,190
Marion County,26,0,16654,181
Marshall County,19,0,9694,156
Mason County,11,0,7315,97
McDowell County,16,0,6091,77
Mercer County,34,0,18593,269
Mineral County,8,0,8558,161
Mingo County,10,0,8345,124
Monongalia County,31,0,27042,198
Monroe County,6,0,4603,46
Morgan County,2,0,4475,70
Nicholas County,11,0,7938,100
Ohio County,12,0,12112,178
Pendleton County,2,0,2061,22
Pleasants County,3,0,2172,38
Pocahontas County,2,0,2138,32
Preston County,9,0,9781,140
Putnam County,27,0,18008,187
Raleigh County,41,0,24980,369
Randolph County,9,0,10147,91
Ritchie County,3,0,2589,31
Roane County,6,0,3532,39
Summers County,6,0,3047,55
Taylor County,8,0,4966,73
Tucker County,2,0,2101,38
Tyler County,2,0,2322,32
Upshur County,15,0,7503,97
Wayne County,7,0,10414,130
Webster County,7,0,2437,34
Wetzel County,6,0,4692,87
Wirt County,2,0,1524,25
Wood County,36,0,23581,354
Wyoming County,17,0,7568,124
