County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Adams County,4,0,5042,63
Ashland County,5,0,3673,39
Barron County,9,0,14290,147
Bayfield County,8,0,3820,42
Brown County,77,0,90312,569
Buffalo County,3,0,3765,12
Burnett County,3,0,4354,45
Calumet County,12,0,15334,125
Chippewa County,13,0,19840,193
Clark County,7,0,8015,122
Columbia County,17,0,16982,133
Crawford County,5,0,4516,29
Dane County,257,0,151913,538
Dodge County,21,0,28610,341
Door County,8,0,7577,73
Douglas County,10,0,12805,80
Dunn County,10,0,14143,76
Eau Claire County,25,0,32709,194
Florence County,1,0,1145,17
Fond du Lac County,29,0,34065,285
Forest County,5,0,2889,52
Grant County,17,0,13664,149
Green County,10,0,10051,55
Green Lake County,7,0,5543,65
Iowa County,7,0,5890,30
Iron County,3,0,1568,48
Jackson County,5,0,6001,43
Jefferson County,23,0,23278,246
Juneau County,6,0,8271,70
Kenosha County,52,0,48367,648
Kewaunee County,4,0,6147,60
La Crosse County,40,0,38250,189
Lafayette County,3,0,3929,29
Langlade County,4,0,5674,92
Lincoln County,9,0,7736,152
Manitowoc County,24,0,21914,192
Marathon County,45,0,42986,507
Marinette County,10,0,12344,132
Marquette County,2,0,4112,61
Menominee County,2,0,2040,15
Milwaukee County,327,1,296486,2334
Monroe County,9,0,12919,99
Oconto County,8,0,11923,124
Oneida County,14,0,9332,139
Outagamie County,44,0,57865,419
Ozaukee County,25,0,24787,192
Pepin County,0,0,2071,18
Pierce County,6,0,12319,73
Polk County,12,0,13232,121
Portage County,21,0,19680,161
Price County,3,0,3486,34
Racine County,53,0,61562,704
Richland County,6,0,4256,51
Rock County,51,0,47145,403
Rusk County,6,0,3642,58
Sauk County,18,0,17780,138
Sawyer County,7,0,4992,63
Shawano County,8,0,12423,155
Sheboygan County,33,0,35061,332
St. Croix County,25,0,27088,155
Taylor County,2,0,5058,73
Trempealeau County,6,0,8848,66
Vernon County,9,0,6665,103
Vilas County,9,0,5673,91
Walworth County,27,0,28750,287
Washburn County,6,0,4331,46
Washington County,32,0,41333,348
Waukesha County,117,0,123819,1130
Waupaca County,9,0,14439,256
Waushara County,5,0,6778,87
Winnebago County,49,0,55883,394
Wood County,26,0,23137,238
