County,7-Day Cases,7-Day Deaths,Total Cases,Total Deaths
Albany County,11,0,10623,51
Big Horn County,6,0,2758,63
Campbell County,14,0,12618,150
Carbon County,9,0,4869,52
Converse County,3,0,3277,55
Crook County,2,0,1414,29
Fremont County,26,0,14818,194
Goshen County,25,0,4023,57
Hot Springs County,2,0,1259,18
Johnson County,5,0,2019,20
Laramie County,44,0,28291,294
Lincoln County,7,0,4410,32
Natrona County,28,1,23394,280
Niobrara County,1,0,730,10
Park County,7,0,7161,146
Platte County,5,0,2053,41
Sheridan County,12,0,8769,81
Sublette County,3,0,2039,27
Sweetwater County,10,0,11704,126
Teton County,17,0,11027,16
Uinta County,7,0,5906,39
Washakie County,3,0,2518,44
Weston County,6,0,1706,20
