State,Covid Cases,Covid Deaths
Alabama,19812,68
Alaska,1252,6
Arizona,29852,128
Arkansas,11620,61
California,91867,562
Colorado,12863,72
Connecticut,11034,85
Delaware,3001,61
District of Columbia,1354,50
Florida,76490,479
Georgia,38697,152
Hawaii,1535,37
Idaho,4994,12
Illinois,38161,404
Indiana,23982,107
Iowa,9718,31
Kansas,8961,73
Kentucky,16244,62
Louisiana,17462,28
Maine,2463,34
Maryland,14867,186
Massachusetts,21035,222
Michigan,37142,185
Minnesota,12806,82
Mississippi,12546,16
Missouri,19993,159
Montana,3450,16
Nebraska,4357,18
Nevada,11141,79
New Hampshire,2604,28
New Jersey,34133,154
New Mexico,8006,37
New York,69626,799
North Carolina,25395,181
North Dakota,2232,4
Ohio,38920,166
Oklahoma,16159,114
Oregon,7884,95
Pennsylvania,45949,495
Rhode Island,3619,13
South Carolina,17869,48
South Dakota,2945,8
Tennessee,26835,50
Texas,87321,396
Utah,4847,13
Vermont,688,24
Virginia,20772,233
Washington,13404,170
West Virginia,7099,92
Wisconsin,14850,98
Wyoming,1845,4
